sentence_id,review_id,review,word_count,vader,textblob
1.38.2,1.38,I had tried beef Wellington in some places in Vietnam but here THE LITTLE DOOR made me so surprised,19,1,0
1.38.3,1.38,The beef is not tenderloin but Wagyu striploin is really fantastic combination with their homemade flaky puff pastries,18,1,1
1.38.4,1.38,The beef is well seasoned with salt and pepper special 3 year old shiitake,14,1,1
1.38.5,1.38,Definitely recommend this THE LITTLE DOOR,6,1,0
1.39.1,1.39,Food was delicious and worth every penny,7,1,1
1.39.2,1.39,Service was lovely and super friendly,6,1,1
1.39.3,1.39,Definitely will suggest to all friends who want to have a great moment with their partner for a romantic dinner,20,1,1
1.4.3,1.4,I have to say this is the best cuisine I have ever enjoyed in Ho Chi Minh City,18,1,1
1.4.4,1.4,No matter you are tourist here or you live here you better spend at least once per week here to enjoy your fantastic life with your beloved,27,1,1
1.41.1,1.41,Small but warm place,4,1,1
1.41.2,1.41,Waiters are very helpful,4,1,1
1.41.3,1.41,Foods in European style are good,6,1,1
1.41.4,1.41,Only one minus point I had to wait a little bit of longer than the others,16,1,0
1.42.1,1.42,My niece and I accidentally stumbled upon this restaurant on our way home,13,0,1
1.42.2,1.42,I had the beef noodle with red wine and to my big surprise the food was exceptionally delicious and beyond my expectations,22,1,1
1.42.3,1.42,I highly recommend this restaurant to everyone,7,1,1
1.43.1,1.43,Decoration is okay with smell design,6,1,1
1.43.2,1.43,Average food and beverage,4,1,0
1.43.3,1.43,Roasted duck is fatty and like chewing gum,8,1,0
1.43.4,1.43,Salad is dissappointing,3,1,1
1.43.5,1.43,Mango is old and brown not fresh cut just cheap salad mix,12,0,1
1.43.6,1.43,Mega expensive for the value you get,7,1,0
1.43.7,1.43,Will never come back,4,1,1
1.44.1,1.44,Love this place,3,1,1
1.44.2,1.44,Fine dining great food great service,6,1,1
1.44.3,1.44,The new location is decorated superbly,6,1,1
1.45.1,1.45,Really nice place with good produce and very good quality for the price,13,1,1
1.46.1,1.46,Hide gem in Saigon,4,0,1
1.46.2,1.46,delicious food and nice atmosphere,5,1,1
1.46.3,1.46,Lamb chops perfectly cooked and the creme burle was fantastic,10,1,1
1.47.1,1.47,Very bad chose Part F menu but it is not good about design and food,15,0,0
1.47.2,1.47,I spent 4 millions VND for a meal,8,1,0
1.48.1,1.48,The food is delicious,4,1,1
1.48.2,1.48,I will come back definitely for other course which seem very creative,12,1,1
1.48.3,1.48,Otherwise staff are nice but they can be improved,9,1,1
1.5.2,1.5,The food is great very nice place,7,1,1
1.51.1,1.51,Beautiful restaurant with good food and service,7,1,1
1.52.1,1.52,Nicely set up small restaurant Viet Kieu Chef trained in USA has an interesting menu and some nice wines on the wine list,23,1,1
1.53.1,1.53,Great food great atmosphere great staff,6,1,1
1.53.2,1.53,I will definitely return and I highly recommend you visit,10,1,1
1.53.3,1.53,Dinner was awesome tonight,4,1,1
1.54.1,1.54,Foodcand atmosphere were delightful,4,1,1
1.54.2,1.54,Great place forvspecial evenrs like Birthdays and Anniversaries,8,1,1
1.55.1,1.55,Very relax restaurant with very delicious food,7,1,1
1.56.1,1.56,Fantastic dinner some of the best food I have had in Saigon,12,1,1
1.57.1,1.57,Good place for date,4,1,1
1.57.2,1.57,Dishes in good price,4,1,1
1.58.1,1.58,the worst pizza i ever had to eat,8,0,0
1.58.2,1.58,sorry that was a frozen pizza from the supermarket But the Spaghetti Bolognese was okay,15,1,1
1.59.1,1.59,Nice local food,3,1,1
1.59.2,1.59,It is an old typical building but without terrace,9,1,0
1.61.1,1.61,Atmosphere is nice but the food,6,1,1
1.62.1,1.62,Delicious food and nicely cooked,5,1,1
1.63.1,1.63,Nice place nice service easily to find,7,1,1
1.63.2,1.63,This one is one of my fav in town,9,1,1
1.64.1,1.64,Nice place for couple,4,1,1
1.65.1,1.65,nice place good services delicious dishes,6,1,1
1.66.1,1.66,Magnificent place to eat especially dating,6,1,1
1.68.1,1.68,Very delicious beef steaks,4,1,1
1.7.9,1.7,Good place for couple party,5,1,1
1.71.1,1.71,Ok service okay food okay,5,1,1
1.72.1,1.72,outstanding in every way,4,1,1
1.81.1,1.81,A newly discovered restaurant with a good atmosphere in an alley in District 3,14,1,1
1.81.2,1.81,It is said that there is also a private room on the upper floor in an atmosphere suitable for couples,20,1,1
1.81.3,1.81,If you are traveling to Ho Chi Minh I recommend you to stop by,14,1,1
1.81.4,1.81,The food is above average and delicious,7,1,1
1.107.1,1.107,Very satisfied although it is in an alley it presents a good atmosphere good service delicious food reasonable price highly recommended The attached bread is also delicious,27,1,1
1.107.2,1.107,If you come to eat at night I believe the atmosphere will be better,14,1,1
1.107.3,1.107,It is very suitable for couples on a date,9,1,1
1.115.1,1.115,Restaurant with good atmosphere,4,1,1
1.115.2,1.115,Good to enjoy on a special day,7,1,1
1.118.1,1.118,A romantic restaurant hidden in an alley Good atmosphere and good service The meal is good,16,1,1
1.118.2,1.118,The combination of the meal and the price of the set meal are satisfactory,14,1,1
2.1.1,2.1,A very large place with spacious yard outdoor nicely cultivated plants and a 2 storey house which inside is a bit small,22,1,1
2.1.2,2.1,The place is new and clean,6,1,1
2.1.3,2.1,Foods and drinks are okay,5,1,1
2.1.4,2.1,The price is a little bit too pricey,8,1,0
2.1.5,2.1,if you need a quiet place this may be the one,11,1,1
2.2.1,2.2,Based on 80_84 Tran Quoc Thao Str District 3 so it s easy to reach,15,1,1
2.2.2,2.2,Wow nice fragrance with green atmosphere when you entered the door,11,1,1
2.2.3,2.2,We seat next to the Garden view to look outside it was really nature and cooling for lunch time,19,1,1
2.2.4,2.2,Foods and drinks was delicious,5,1,1
2.2.5,2.2,Ginger tea with a little bit honey is a great option also after lunch Menu for lunch not much variety for choose but some looks good taste so jummy,29,1,1
2.2.6,2.2,Cleanliness with beautiful surroundings kindly service good food,8,1,1
2.2.7,2.2,Come and try this stylish whenever you visit Saigon,9,1,1
2.2.8,2.2,This Restaurant suitable for couples groups of friends family small meeting,11,1,1
2.2.9,2.2,I ll be back Thank you Con Son Restaurant Lounge,10,1,1
2.3.1,2.3,Great place to hang out with friends at weekend,9,1,1
2.3.2,2.3,Warmly and cosy,3,1,1
2.3.3,2.3,Cold brew is pretty good,5,1,1
2.3.4,2.3,Fast service with nice staffs,5,1,1
2.4.1,2.4,The place looks fancy from outside so the price,9,1,1
2.4.2,2.4,I was not be impressed by the food itself but mostly the hospitality of the staffs from the entrance till we finished our dinner,24,0,1
2.5.1,2.5,Great food fine dining,4,1,1
2.5.2,2.5,Beautiful private dining room,4,1,1
2.5.3,2.5,On the posh side high prices however worth it,9,1,1
2.6.1,2.6,The place looks great from the outside but not so fancy inside especially the seats in the garden,18,1,1
2.6.2,2.6,Drinks are just so so,5,1,1
2.7.1,2.7,Food quality is acceptable as I suppose it is more leaned towards nonvietnamese diners but if you want authentic Vietnamese cuisine this definitely isn t the place to be going to,31,1,1
2.7.2,2.7,The decor is a bit dark as there are only dimly lit yellow lights but this gives it a rather luxurious feeling and perhaps cozy in a sense,28,1,0
2.7.3,2.7,Honestly besides taking pictures and having a more western take on Vietnamese cuisine this is not quite the place if you want to experience the true Vietnamese feel,28,1,1
2.8.1,2.8,Super luxury fine dining restaurant,5,1,1
2.8.2,2.8,The food was nice staffs were friendly and welltrained securities were super helpful,13,1,1
2.8.3,2.8,However watch out for the notsotiny friends called rats running around at the outdoor area,15,1,1
2.8.4,2.8,Beside that everything was perfect,5,1,1
2.9.1,2.9,Overpriced and food is just meh,6,0,1
2.9.2,2.9,The beef tendon in Bo Kho is impossible to chew,10,1,0
2.1.6,2.1,Food is not so delicious service is okay price is as high as sky Not recommended,16,0,1
2.18.1,2.18,Vietnamese fusion restaurant,3,1,1
2.18.2,2.18,The owner of the restaurant couldn t achieve his dream of opening a restaurant because he didn t have money so he posted on Facebook and the people who saw the post invested 100 or 200 to collect money and open the restaurant with a small investment,47,1,0
2.18.3,2.18,The inside is antique and the fat is high so when the music resonates Feel is very full,18,1,1
2.18.4,2.18,A place worth visiting You can drink coffee and drinks separately in the small outdoor garden and the garden is small and pretty,23,1,1
2.18.5,2.18,You order food by looking at the pictured menu,9,1,1
2.18.6,2.18,There are quite a few foods that are not available,10,1,0
2.18.7,2.18,Among them lamb dishes and lotus salad are good,9,1,1
2.18.8,2.18,Sometimes when I m out of my mind This is a great place to visit,15,1,1
2.23.1,2.23,The entire shop is decorated with flowers and has a luxurious atmosphere,12,1,1
2.23.2,2.23,All food decorations are top notch,6,1,1
2.23.3,2.23,Food is great too,4,1,1
2.24.1,2.24,I ate com tam here a dish you will find everywhere in Vietnam,13,1,1
2.24.2,2.24,This one here was particularly good,6,1,1
2.24.3,2.24,Full of flavor and the meat melted on the tongue,10,1,1
5.12.1,5.12,It s a beautiful place,5,1,1
6.1.1,6.1,Good food right price,4,1,1
6.2.1,6.2,Good service good price veggie is fresh,7,1,1
6.3.1,6.3,fresh and near airpory,4,1,1
6.17.1,6.17,great The snaps pass by,5,1,1
6.17.2,6.17,It s so slow,4,1,0
6.17.3,6.17,Mason It s okay but the price is overpriced for outsiders,11,1,1
6.17.4,6.17,The two of us paid 50 000 dong,8,1,1
6.18.1,6.18,The food was delicious and reasonably priced,7,1,1
6.18.2,6.18,Seafood is taken out of the tank and cooked so it is extremely fresh,14,1,1
6.18.3,6.18,I went there after midnight but it was still open until around 2 00,14,1,1
6.18.4,6.18,Thank you for responding properly to Japanese people who do not understand the language,14,1,1
6.43.1,6.43,My first meal in Vietnam with my girlfriend,8,1,1
6.43.2,6.43,good to eat,3,1,1
6.54.1,6.54,Fresh and cheap food,4,1,1
7.1.1,7.1,Everything in this restaurant is good,6,1,1
7.1.2,7.1,The service is very good waiters are very efficient and nice,11,1,1
7.1.3,7.1,The cuisine it top,4,1,1
7.1.4,7.1,We ate a pork with a crunchy skin which is on of the best I ate in Vietnam,18,1,1
7.1.5,7.1,The decor is beautiful with trees inside,7,1,1
7.1.6,7.1,Despite the hot weather it is quite fresh even outside they have big fans and we were very comfortable,19,1,1
7.1.7,7.1,We ate some Northern specialties very tasty,7,1,1
7.1.8,7.1,I recommend it if you happen to visit HCMC and you re a goody like me,16,1,1
7.2.1,7.2,very nice local food,4,1,1
7.2.2,7.2,They even have English welcome letter for foreign customers,9,1,1
7.3.1,7.3,Alot of local cooking style of food,7,1,1
7.3.2,7.3,Have meat besides seafood,4,1,1
7.3.3,7.3,Unique vn taste but avoid the roast pork too ex,10,0,1
7.4.1,7.4,Very diverse menu and have tasty food,7,1,1
7.4.2,7.4,However it was a little greasy for my taste,9,1,0
7.4.3,7.4,The service was nice and they were very responsive,9,1,1
7.4.4,7.4,Similar to other Vietnamese restaurants if you are not use too with the water do not drink anything with ice in the restaurant,22,1,0
7.4.5,7.4,I had a sore throat the next day after 1 bottle of water with ice glass,16,0,1
7.5.1,7.5,Very delicious foods,3,1,1
7.5.2,7.5,All kinds of special dishes from Mekong Delta area,9,1,1
7.5.3,7.5,And they offer a very good prices,7,1,1
7.5.4,7.5,Recommend for friends to meet up and hang out,9,1,1
7.6.1,7.6,Delicious food good place to eat with team or family,10,1,1
7.7.1,7.7,Has some exotic stuff on the menu too,8,1,1
7.8.1,7.8,Crowded good food,3,1,1
7.8.2,7.8,Messy car park,3,0,0
7.9.1,7.9,Food is not as good as what we have seen on the ads,13,0,1
7.9.2,7.9,The only cruisine that most expected roasted wild pork was fairly good,12,1,1
7.9.3,7.9,The other foods were too little but with expensive price,10,1,0
7.9.4,7.9,The service was not professional,5,1,0
7.9.5,7.9,We felt a bit disappointed here,6,0,0
7.1.9,7.1,Price is high,3,1,1
7.1.10,7.1,Service is good,3,1,1
7.1.11,7.1,Food and drink are from good to very good,9,1,1
7.1.12,7.1,Worthy to try if you have money D,8,1,1
7.13.1,7.13,Specialties are soso,3,1,1
7.13.2,7.13,So much better choices around,5,1,1
7.15.1,7.15,Very clean staffs do theyd job professional the food acceptable,10,1,1
7.16.1,7.16,The staff doesn t speak English,6,1,1
7.16.2,7.16,Very difficult to order,4,0,0
7.16.3,7.16,The restaurant is clean,4,1,1
7.17.1,7.17,Nice atmosphere and service staff,5,1,1
7.17.2,7.17,Foods are OK,3,1,1
7.18.1,7.18,Good service but food is just so so and quite pricy,11,1,1
7.2.3,7.2,Food quality and price best match in town,8,1,1
7.22.1,7.22,Baby pork was highly recommended,5,1,1
7.23.1,7.23,food and drinks are just average the price is acceptable,10,1,0
7.24.1,7.24,Food Good Drinks Good Customer Service OK,7,1,1
7.25.1,7.25,Nice clean place to eat good food and atmosphere,9,1,1
7.26.1,7.26,love this place,3,1,1
7.26.2,7.26,clean food and beautiful atmostphere,5,1,1
7.27.1,7.27,Booking experience with this restaurant is so bad,8,0,0
7.28.1,7.28,Nice place and well treatment,5,1,1
7.31.1,7.31,Vivid Vietnamese cuisine menu,4,1,1
7.33.1,7.33,Very delicous as their name,5,1,1
7.43.1,7.43,Excellent Vietnamese food,3,1,1
7.44.1,7.44,Nice staff good disks,4,1,1
7.45.1,7.45,Nice ambiance and a lively place,6,1,1
7.47.1,7.47,The food is so so nothing is special,8,0,1
7.48.1,7.48,Amazing value for money,4,1,1
7.49.1,7.49,Suit for family eat out,5,1,1
7.55.1,7.55,I like the cuisine of this restaurant,7,1,1
7.73.1,7.73,Enjoy your favourite food,4,1,1
7.87.1,7.87,a big thumb up,4,1,1
8.1.1,8.1,Really fun atmosphere filled with locals,6,1,1
8.1.2,8.1,It does get a little loud since they accommodate larger parties but its manageable,14,1,0
8.1.3,8.1,The servers did not seem to speak any English but we still got some solid recs the salad and grilled oysters are amazing see pic,24,1,1
8.2.1,8.2,Very nice cozy the food is authentically Chinese who would have thought Go there you will enjoy it I m sure,21,1,1
8.3.1,8.3,Party for company meeting team,5,1,1
8.3.2,8.3,You can order some kind of sea food steam chiken fresh beer,12,1,1
8.3.3,8.3,The atmosphere is okay at large garden and Gia Dinh park,11,1,1
8.4.1,8.4,Very nice foods and good location near the airport,9,1,1
8.5.1,8.5,Very wide selection of food,5,1,0
8.5.2,8.5,Good place to drink beer and have dinner with customers,10,1,1
8.5.3,8.5,Price is a little high compared to other restaurants but service staffs are very polite and fast,17,1,1
8.5.4,8.5,It also have Private VIP room with air conditioner,9,1,1
8.5.5,8.5,But there are mosquitoes near the artificial pond keep away from seating near there,14,1,0
8.6.1,8.6,The food was great the service was good,8,1,1
8.6.2,8.6,Everything is fine but I think there should be restrictions on smoking,12,1,1
8.6.3,8.6,Its not great to have a meal outdoor and have some secondhand smoke fly all over your meal,18,0,1
8.6.4,8.6,I think you guys should fine those who smoke like 50k or 25k for the least every time someone smokes,20,1,1
8.7.1,8.7,Great food if you re willing to splurge many menu items like the goat leg are delicious but can be scarcely available depending on the time,26,1,1
8.7.2,8.7,At its worst the place is rowdy and expensive at its best it is a great Vietnamese fine dining experience,20,1,1
8.7.3,8.7,Great service good food but it might not be for everyone considering the language barrier and cost,17,1,1
8.8.1,8.8,This restaurant is in quite a central district but it is next to a park and close to the airport allowing it to have spacious settings and very naturalfeel environment,30,1,1
8.8.2,8.8,It has several tables in an open space facing the green garden which is very rare in Saigon plus many aircooled private room for groups that don t want to be disturbed,32,0,1
8.8.3,8.8,The food are quite expensive though and it kind of aim for people wanting to try luxury foods,18,1,1
8.8.4,8.8,It also offer typical Vietnamese beer food including some traditional dishes in the northwest regions,15,1,0
8.9.1,8.9,Tri K is just a historic name their service has changed from good to worst food is meh,18,0,0
8.1.4,8.1,Excellent service and food lovely restaurant I can recommend it,10,1,1
8.1.5,8.1,There were however very loud and unruly children at the table next to ours which spoiled our dining out experience,20,1,1
8.11.1,8.11,Nice place clean and food is okay too,8,1,1
8.12.1,8.12,fast service good place for drink beer mini karaoke,9,1,1
8.13.1,8.13,A place that will walk you thru the local food and the focuses on experience,15,1,1
8.13.2,8.13,Go there if you want to try some good vietnam food as an outsider,14,1,1
8.14.1,8.14,Good service is always our priority and this place provides us that The food isn t the best but okay,20,1,1
8.14.2,8.14,Good for a nice and slow morning,7,1,1
8.15.1,8.15,Good places good service s,5,1,1
8.16.1,8.16,The meat was so tough i could hardly eat it,10,0,0
8.16.2,8.16,I had to send it back after a few bits,10,1,0
8.16.3,8.16,The staff was not very friendly as well,7,0,0
8.16.4,8.16,I would not recommend to go there,6,0,1
8.17.1,8.17,Best place for party,4,1,1
8.18.1,8.18,nice restaurant with delicious food,5,1,1
8.19.1,8.19,Food and service are quite OK suitable for holding a family gathering or small feasts,15,1,1
8.2.2,8.2,Good food acceptable price,4,1,1
8.2.3,8.2,Free car parking in front of restaurant,7,1,1
8.21.1,8.21,Near airport nice place with some special flavor as ca linh,11,1,1
8.22.1,8.22,Good food have private room and free parking,8,1,1
