sentence_id,review_id,review,word_count
1.11.3,1.11,knew famous place celebrate anniversary actually know deal available around  mil dong,12
1.11.4,1.11,literally nobrainer given excellent food quality ambience,7
1.11.5,1.11,besides anniversary celebration apparently good deal monday tuesday,8
1.11.6,1.11,definitely come back feast,4
1.12.1,1.12,excellent western restaurant reasonable price,5
1.12.2,1.12,good location minute walking bitexco takashimaya,6
1.12.3,1.12,staff friendly well service,4
1.12.4,1.12,come back definitely,3
1.13.1,1.13,tasty experience european food specialty fusion menu love explore creative side restaurant,12
1.13.2,1.13,cozy interior decor great personal touch great service make dining enjoyable,11
1.14.1,1.14,food fantastic great experience,4
1.14.2,1.14,would personally like thank mr tri bao serving u tonight,10
1.14.3,1.14,anyone coming restaurant please ask mr tri bao provides excellent service nice helpful,13
1.14.4,1.14,think man need raise promoted,5
1.14.5,1.14,restaurant would without,3
1.15.1,1.15,little door surpassed expectation food delicious presented staff helpful friendly took good care u,14
1.16.1,1.16,great atmosphere really high quality food great price definitely return,10
1.17.1,1.17,tiny ally environment service food good,6
1.17.2,1.17,definitley place come visit,4
1.18.1,1.18,bad service booking system use email double confirm already actually manager received reservation already arrived restaurant manager said seat available want u leave immediately,24
1.18.2,1.18,worst service hcm,3
1.19.1,1.19,great environment service taste price also expensive,7
1.2.14,1.2,palace shocked bcoz location,4
1.2.15,1.2,located side alley,3
1.2.16,1.2,see palace super,3
1.2.17,1.2,presentation food everything amazing,4
1.2.18,1.2,ordered crispy chicken whole vietnam trip best chicken ate,9
1.2.19,1.2, star rating,2
1.21.1,1.21,venue decoration nice,3
1.21.2,1.21,ideal taking picture,3
1.21.3,1.21,actually decorate table according birthday anniversary nice touch,8
1.21.4,1.21,however food average,3
1.21.5,1.21,bread free dry taste like  day old,7
1.21.6,1.21,lot choice truffle chose salmon tartare pasta chicken ravioli none taste truffle rather heavy garlic,15
1.21.7,1.21,beef wellington okay,3
1.22.1,1.22,food place take fancy photo fancy decor,7
1.22.2,1.22,expected much quality food price,5
1.22.3,1.22,typical place vietnam focus look rather quality,7
1.22.4,1.22,waiter work quick though,4
1.23.1,1.23,place absolutely gorgeous milano pasta perfectly cooked staff friendly,9
1.24.1,1.24,planned celebrate fiance birthday went inspect restaurant,7
1.24.2,1.24,restaurant look nice wanted reserve particular table next weekday,9
1.24.3,1.24,however told reserve guarantee table,5
1.24.4,1.24,table  person  person,3
1.24.5,1.24, customer need table move smaller table,6
1.24.6,1.24,hack point booking like try fish  fish one bait felt disgusting walked away,13
1.24.7,1.24,ensure family friend going restaurant,5
1.25.1,1.25,beautiful restaurant delicious black angus steak,6
1.26.1,1.26,steak good highly recommend,4
1.26.2,1.26,nice service,2
1.27.1,1.27,nice set restaurant,3
1.27.2,1.27,romantic european style fine dining concept price almost half compared others,11
1.28.1,1.28,one best place celebrating anniversary someone loved service also amazing,10
1.29.1,1.29,came back last night,4
1.29.2,1.29,still good experience,3
1.29.3,1.29,tried black angus riverside eye price k g,8
1.29.4,1.29,tender juicy good price,4
1.3.5,1.3,ah yes place,3
1.3.6,1.3,ordered two appetizer two entree two drink,7
1.3.7,1.3,appetizer went first two drink,5
1.3.8,1.3,friend noticed three bug one drink proceed returned,8
1.3.9,1.3,manager made excuse whether checked blah blah,7
1.3.10,1.3,well want returned two entree check leave,7
1.3.11,1.3,lo behold took one drink bug cancel two entree even though entree served yet,14
1.3.13,1.3,seems like money go nice decor thing standard,8
1.31.1,1.31,great discovery little door literally cute little door next massage place,11
1.31.2,1.31,place cozy well attended,4
1.31.3,1.31,clam chowder spaghetti la bolognese,5
1.31.4,1.31,tell everything homemade including dinner roll accompanied truffle butter,9
1.31.5,1.31,bonus understood owner also bakery,5
1.31.6,1.31,portion european standard great light tasty lunch,7
1.31.7,1.31,wait return dinner,3
1.31.8,1.31,pizza menu looked really good,5
1.32.1,1.32,atmosphere great portion acceptable lovely violin playing icing cake,9
1.33.1,1.33,well presented prepared food,4
1.33.2,1.33,service good,2
1.33.3,1.33,want attract discerning clientele goodness sake change god awful music,10
1.33.4,1.33,soft soap christian revival played endless loop like torture soul,10
1.33.5,1.33,heard bland softsoul cover version least four time,8
1.33.6,1.33,maybe also take light bit,5
1.34.1,1.34,shocking astounded high review place bloody incompetent,7
1.34.2,1.34,picture salmon cake massively deceptive,5
1.34.3,1.34,reckon le  gram  cm diameter cm thick would expect free sample duck breast ample size cooked tough dry ordering game charade,21
1.34.4,1.34,nothing worse illiterate boy bobbing head understands worse popping occasional okay tantamount lying infuriating took several try get go get someone understands place damn hopeless favor avoid,27
1.35.1,1.35,best european restaurant ho chi minh city,7
1.35.2,1.35,amazing food atmosphere service,4
1.36.1,1.36,always love restaurant delicious food nice decoration,7
1.37.1,1.37,nice restaurant awesome wagyu steak,5
1.38.1,1.38,amazing restaurant special food wagyu beef wellington,7
1.38.2,1.38,tried beef wellington place vietnam little door made surprised,9
1.38.3,1.38,beef tenderloin wagyu striploin really fantastic combination homemade flaky puff pastry,11
1.38.4,1.38,beef well seasoned salt pepper special  year old shiitake,9
1.38.5,1.38,definitely recommend little door,4
1.39.1,1.39,food delicious worth every penny,5
1.39.2,1.39,service lovely super friendly,4
1.39.3,1.39,definitely suggest friend want great moment partner romantic dinner,9
1.4.3,1.4,say best cuisine ever enjoyed ho chi minh city,9
1.4.4,1.4,matter tourist live better spend least per week enjoy fantastic life beloved,12
1.41.1,1.41,small warm place,3
1.41.2,1.41,waiter helpful,2
1.41.3,1.41,food european style good,4
1.41.4,1.41,one minus point wait little bit longer others,8
1.42.1,1.42,niece accidentally stumbled upon restaurant way home,7
1.42.2,1.42,beef noodle red wine big surprise food exceptionally delicious beyond expectation,11
1.42.3,1.42,highly recommend restaurant everyone,4
1.43.1,1.43,decoration okay smell design,4
1.43.2,1.43,average food beverage,3
1.43.3,1.43,roasted duck fatty like chewing gum,6
1.43.4,1.43,salad dissappointing,2
1.43.5,1.43,mango old brown fresh cut cheap salad mix,8
1.43.6,1.43,mega expensive value get,4
1.43.7,1.43,never come back,3
1.44.1,1.44,love place,2
1.44.2,1.44,fine dining great food great service,6
1.44.3,1.44,new location decorated superbly,4
1.45.1,1.45,really nice place good produce good quality price,8
1.46.1,1.46,hide gem saigon,3
1.46.2,1.46,delicious food nice atmosphere,4
1.46.3,1.46,lamb chop perfectly cooked creme burle fantastic,7
1.47.1,1.47,bad chose part f menu good design food,8
1.47.2,1.47,spent  million vnd meal,4
1.48.1,1.48,food delicious,2
1.48.2,1.48,come back definitely course seem creative,6
1.48.3,1.48,otherwise staff nice improved,4
1.5.2,1.5,food great nice place,4
1.51.1,1.51,beautiful restaurant good food service,5
1.52.1,1.52,nicely set small restaurant viet kieu chef trained usa interesting menu nice wine wine list,15
1.53.1,1.53,great food great atmosphere great staff,6
1.53.2,1.53,definitely return highly recommend visit,5
1.53.3,1.53,dinner awesome tonight,3
1.54.1,1.54,foodcand atmosphere delightful,3
1.54.2,1.54,great place forvspecial evenrs like birthday anniversary,7
1.55.1,1.55,relax restaurant delicious food,4
1.56.1,1.56,fantastic dinner best food saigon,5
1.57.1,1.57,good place date,3
1.57.2,1.57,dish good price,3
1.58.1,1.58,worst pizza ever eat,4
1.58.2,1.58,sorry frozen pizza supermarket spaghetti bolognese okay,7
1.59.1,1.59,nice local food,3
1.59.2,1.59,old typical building without terrace,5
1.61.1,1.61,atmosphere nice food,3
1.62.1,1.62,delicious food nicely cooked,4
1.63.1,1.63,nice place nice service easily find,6
1.63.2,1.63,one one fav town,4
1.64.1,1.64,nice place couple,3
1.65.1,1.65,nice place good service delicious dish,6
1.66.1,1.66,magnificent place eat especially dating,5
1.68.1,1.68,delicious beef steak,3
1.7.9,1.7,good place couple party,4
1.71.1,1.71,ok service okay food okay,5
1.72.1,1.72,outstanding every way,3
1.81.1,1.81,newly discovered restaurant good atmosphere alley district ,7
1.81.2,1.81,said also private room upper floor atmosphere suitable couple,9
1.81.3,1.81,traveling ho chi minh recommend stop,6
1.81.4,1.81,food average delicious,3
1.107.1,1.107,satisfied although alley present good atmosphere good service delicious food reasonable price highly recommended attached bread also delicious,18
1.107.2,1.107,come eat night believe atmosphere better,6
1.107.3,1.107,suitable couple date,3
1.115.1,1.115,restaurant good atmosphere,3
1.115.2,1.115,good enjoy special day,4
1.118.1,1.118,romantic restaurant hidden alley good atmosphere good service meal good,10
1.118.2,1.118,combination meal price set meal satisfactory,6
2.1.1,2.1,large place spacious yard outdoor nicely cultivated plant  storey house inside bit small,13
2.1.2,2.1,place new clean,3
2.1.3,2.1,food drink okay,3
2.1.4,2.1,price little bit pricey,4
2.1.5,2.1,need quiet place may one,5
2.2.1,2.2,based _ tran quoc thao str district  easy reach,9
2.2.2,2.2,wow nice fragrance green atmosphere entered door,7
2.2.3,2.2,seat next garden view look outside really nature cooling lunch time,11
2.2.4,2.2,food drink delicious,3
2.2.5,2.2,ginger tea little bit honey great option also lunch menu lunch much variety choose look good taste jummy,18
2.2.6,2.2,cleanliness beautiful surroundings kindly service good food,7
2.2.7,2.2,come try stylish whenever visit saigon,6
2.2.8,2.2,restaurant suitable couple group friend family small meeting,8
2.2.9,2.2,back thank con son restaurant lounge,6
2.3.1,2.3,great place hang friend weekend,5
2.3.2,2.3,warmly cosy,2
2.3.3,2.3,cold brew pretty good,4
2.3.4,2.3,fast service nice staff,4
2.4.1,2.4,place look fancy outside price,5
2.4.2,2.4,impressed food mostly hospitality staff entrance till finished dinner,9
2.5.1,2.5,great food fine dining,4
2.5.2,2.5,beautiful private dining room,4
2.5.3,2.5,posh side high price however worth,6
2.6.1,2.6,place look great outside fancy inside especially seat garden,9
2.7.1,2.7,food quality acceptable suppose leaned towards nonvietnamese diner want authentic vietnamese cuisine definitely place going,15
2.7.2,2.7,decor bit dark dimly lit yellow light give rather luxurious feeling perhaps cozy sense,14
2.7.3,2.7,honestly besides taking picture western take vietnamese cuisine quite place want experience true vietnamese feel,15
2.8.1,2.8,super luxury fine dining restaurant,5
2.8.2,2.8,food nice staff friendly welltrained security super helpful,8
2.8.3,2.8,however watch notsotiny friend called rat running around outdoor area,10
2.8.4,2.8,beside everything perfect,3
2.9.1,2.9,overpriced food meh,3
2.9.2,2.9,beef tendon bo kho impossible chew,6
2.1.6,2.1,food delicious service okay price high sky recommended,8
2.18.1,2.18,vietnamese fusion restaurant,3
2.18.2,2.18,owner restaurant achieve dream opening restaurant money posted facebook people saw post invested   collect money open restaurant small investment,19
2.18.3,2.18,inside antique fat high music resonates feel full,8
2.18.4,2.18,place worth visiting drink coffee drink separately small outdoor garden garden small pretty,13
2.18.5,2.18,order food looking pictured menu,5
2.18.6,2.18,quite food available,3
2.18.7,2.18,among lamb dish lotus salad good,6
2.18.8,2.18,sometimes mind great place visit,5
2.23.1,2.23,entire shop decorated flower luxurious atmosphere,6
2.23.2,2.23,food decoration top notch,4
2.23.3,2.23,food great,2
2.24.1,2.24,ate com tam dish find everywhere vietnam,7
2.24.2,2.24,one particularly good,3
2.24.3,2.24,full flavor meat melted tongue,5
5.12.1,5.12,beautiful place,2
6.1.1,6.1,good food right price,4
6.2.1,6.2,good service good price veggie fresh,6
6.3.1,6.3,fresh near airpory,3
6.17.1,6.17,great snap pas,3
6.17.3,6.17,mason okay price overpriced outsider,5
6.17.4,6.17,two u paid   dong,4
6.18.1,6.18,food delicious reasonably priced,4
6.18.2,6.18,seafood taken tank cooked extremely fresh,6
6.18.3,6.18,went midnight still open around  ,5
6.18.4,6.18,thank responding properly japanese people understand language,7
6.43.1,6.43,first meal vietnam girlfriend,4
6.43.2,6.43,good eat,2
6.54.1,6.54,fresh cheap food,3
7.1.1,7.1,everything restaurant good,3
7.1.2,7.1,service good waiter efficient nice,5
7.1.3,7.1,cuisine top,2
7.1.4,7.1,ate pork crunchy skin best ate vietnam,7
7.1.5,7.1,decor beautiful tree inside,4
7.1.6,7.1,despite hot weather quite fresh even outside big fan comfortable,10
7.1.7,7.1,ate northern specialty tasty,4
7.1.8,7.1,recommend happen visit hcmc goody like,6
7.2.1,7.2,nice local food,3
7.2.2,7.2,even english welcome letter foreign customer,6
7.3.1,7.3,alot local cooking style food,5
7.3.2,7.3,meat besides seafood,3
7.3.3,7.3,unique vn taste avoid roast pork ex,7
7.4.1,7.4,diverse menu tasty food,4
7.4.2,7.4,however little greasy taste,4
7.4.3,7.4,service nice responsive,3
7.4.4,7.4,similar vietnamese restaurant use water drink anything ice restaurant,9
7.4.5,7.4,sore throat next day  bottle water ice glass,8
7.5.1,7.5,delicious food,2
7.5.2,7.5,kind special dish mekong delta area,6
7.5.3,7.5,offer good price,3
7.5.4,7.5,recommend friend meet hang,4
7.6.1,7.6,delicious food good place eat team family,7
7.7.1,7.7,exotic stuff menu,3
7.8.1,7.8,crowded good food,3
7.8.2,7.8,messy car park,3
7.9.1,7.9,food good seen ad,4
7.9.2,7.9,cruisine expected roasted wild pork fairly good,7
7.9.3,7.9,food little expensive price,4
7.9.4,7.9,service professional,2
7.9.5,7.9,felt bit disappointed,3
7.1.9,7.1,price high,2
7.1.10,7.1,service good,2
7.1.11,7.1,food drink good good,4
7.1.12,7.1,worthy try money,3
7.13.1,7.13,specialty soso,2
7.13.2,7.13,much better choice around,4
7.15.1,7.15,clean staff theyd job professional food acceptable,7
7.16.1,7.16,staff speak english,3
7.16.2,7.16,difficult order,2
7.16.3,7.16,restaurant clean,2
7.17.1,7.17,nice atmosphere service staff,4
7.17.2,7.17,food ok,2
7.18.1,7.18,good service food quite pricy,5
7.2.3,7.2,food quality price best match town,6
7.22.1,7.22,baby pork highly recommended,4
7.23.1,7.23,food drink average price acceptable,5
7.24.1,7.24,food good drink good customer service ok,7
7.25.1,7.25,nice clean place eat good food atmosphere,7
7.26.1,7.26,love place,2
7.26.2,7.26,clean food beautiful atmostphere,4
7.27.1,7.27,booking experience restaurant bad,4
7.28.1,7.28,nice place well treatment,4
7.31.1,7.31,vivid vietnamese cuisine menu,4
7.33.1,7.33,delicous name,2
7.43.1,7.43,excellent vietnamese food,3
7.44.1,7.44,nice staff good disk,4
7.45.1,7.45,nice ambiance lively place,4
7.47.1,7.47,food nothing special,3
7.48.1,7.48,amazing value money,3
7.49.1,7.49,suit family eat,3
7.55.1,7.55,like cuisine restaurant,3
7.73.1,7.73,enjoy favourite food,3
7.87.1,7.87,big thumb,2
8.1.1,8.1,really fun atmosphere filled local,5
8.1.2,8.1,get little loud since accommodate larger party manageable,8
8.1.3,8.1,server seem speak english still got solid recs salad grilled oyster amazing see pic,14
8.2.1,8.2,nice cozy food authentically chinese would thought go enjoy sure,10
8.3.1,8.3,party company meeting team,4
8.3.2,8.3,order kind sea food steam chiken fresh beer,8
8.3.3,8.3,atmosphere okay large garden gia dinh park,7
8.4.1,8.4,nice food good location near airport,6
8.5.1,8.5,wide selection food,3
8.5.2,8.5,good place drink beer dinner customer,6
8.5.3,8.5,price little high compared restaurant service staff polite fast,9
8.5.4,8.5,also private vip room air conditioner,6
8.5.5,8.5,mosquito near artificial pond keep away seating near,8
8.6.1,8.6,food great service good,4
8.6.2,8.6,everything fine think restriction smoking,5
8.6.3,8.6,great meal outdoor secondhand smoke fly meal,7
8.6.4,8.6,think guy fine smoke like k k least every time someone smoke,12
8.7.1,8.7,great food willing splurge many menu item like goat leg delicious scarcely available depending time,15
8.7.2,8.7,worst place rowdy expensive best great vietnamese fine dining experience,10
8.7.3,8.7,great service good food might everyone considering language barrier cost,10
8.8.1,8.8,restaurant quite central district next park close airport allowing spacious setting naturalfeel environment,13
8.8.2,8.8,several table open space facing green garden rare saigon plus many aircooled private room group want disturbed,17
8.8.3,8.8,food quite expensive though kind aim people wanting try luxury food,11
8.8.4,8.8,also offer typical vietnamese beer food including traditional dish northwest region,11
8.9.1,8.9,tri k historic name service changed good worst food meh,10
8.1.4,8.1,excellent service food lovely restaurant recommend,6
8.1.5,8.1,however loud unruly child table next spoiled dining experience,9
8.11.1,8.11,nice place clean food okay,5
8.12.1,8.12,fast service good place drink beer mini karaoke,8
8.13.1,8.13,place walk thru local food focus experience,7
8.13.2,8.13,go want try good vietnam food outsider,7
8.14.1,8.14,good service always priority place provides u food best okay,10
8.14.2,8.14,good nice slow morning,4
8.15.1,8.15,good place good service,4
8.16.1,8.16,meat tough could hardly eat,5
8.16.2,8.16,send back bit,3
8.16.3,8.16,staff friendly well,3
8.16.4,8.16,would recommend go,3
8.17.1,8.17,best place party,3
8.18.1,8.18,nice restaurant delicious food,4
8.19.1,8.19,food service quite ok suitable holding family gathering small feast,10
8.2.2,8.2,good food acceptable price,4
8.2.3,8.2,free car parking front restaurant,5
8.21.1,8.21,near airport nice place special flavor ca linh,8
8.22.1,8.22,good food private room free parking,6
8.24.1,8.24,food service okay clean reasonable price,6
8.25.1,8.25,good local restaurant close international airport good service,8
8.26.1,8.26,good food nice small garden reasonable price,7
8.27.1,8.27,bad kinda standard restaurant,4
8.28.2,8.28,many fly even inside aircon room,6
8.29.1,8.29,average food,2
8.29.2,8.29,red invoice available,3
8.29.3,8.29,credit card accepted,3
8.3.4,8.3,food ok price rather high,5
8.31.1,8.31,pride hong ha street sea food paradise,7
8.33.1,8.33,good breakfast,2
8.35.1,8.35,staff nice food good,4
8.36.1,8.36,near company private place custormer group,6
8.37.1,8.37,bit expensive,2
8.38.1,8.38,good place recommend family friend,5
8.39.1,8.39,view good price acceptable,4
8.43.1,8.43,mouse view reasonable price,4
8.49.1,8.49,good environment food tasty,4
8.51.1,8.51,good food fresh air,4
8.52.1,8.52,service little old style,4
8.55.1,8.55,beautiful garden restaurant,3
8.77.1,8.77,food delicious,2
8.99.1,8.99,expensive restaurant,2
8.101.1,8.101,good place good food,4
8.103.1,8.103,wait long,2
8.126.1,8.126,vietnamese local restaurant located back ho chi minh airport suitable party gathering,12
8.134.1,8.134,lot people evening food better another day midday time meal par little english spoken,14
8.134.2,8.134,menu vietnamese,2
8.137.1,8.137,used company yearend party little active,6
8.137.2,8.137,also private room service food perfect,6
8.137.3,8.137,price level luxury store local sense,6
9.1.1,9.1,group lifup place,3
9.2.1,9.2,good restautant privacy room,4
11.1.1,11.1,standard drinking place,3
11.1.2,11.1,food ok,2
11.1.3,11.1,nothing special report,3
11.2.1,11.2,bit overpriced,2
11.2.2,11.2,ordered main dish bowl soup,5
11.2.3,11.2,wait roughly  minute paid  time place,6
11.2.4,11.2,would never go back,4
11.2.5,11.2,waiter really nice,3
11.3.1,11.3,delicious food good play gather watch soccer,7
11.4.1,11.4,loud obnoxious unsanitary overall bad experience,6
11.4.2,11.4,ate got sick,3
11.5.1,11.5,nice place good food perfect draught beer huda,8
11.6.1,11.6,staff great beer cheap food delicious,6
11.58.1,11.58,go worst,2
12.1.1,12.1,came birthday dinnerwe private room upstairs nice,7
12.1.2,12.1,seems like good place big group,6
12.1.3,12.1,overall food mediocre,3
12.2.1,12.2,came celebrate international woman day food atmosphere amazing,8
12.2.2,12.2,must try chicken knee chicken sticky rice best ive ever,10
12.3.1,12.3,great food affordable price,4
12.3.2,12.3,staff friendly,2
12.4.1,12.4,nice private room ac big family event,7
12.4.2,12.4,staff friendly good selection food,5
12.4.3,12.4,think food okay,3
12.5.1,12.5,food service excellent,3
12.5.2,12.5,wanted pay visa card told accept,6
12.5.4,12.5,conveniently told credit card machine broken,6
12.5.5,12.5,wont back think ask hand credit card machine operative,9
12.6.1,12.6,always family favourite,3
12.6.2,12.6,must get ch gi hng cau also fried rice clay pot texture amazing,13
12.6.3,12.6,also get tofu wrapped tin foil simply delicious,8
12.7.1,12.7,surprisingly able cook nice fried rice,6
12.7.2,12.7,indeed nice,2
12.7.3,12.7,alone able order many meal,5
12.7.4,12.7,ordered seafood fried rice bottle beer,6
12.9.1,12.9,nice restaurant,2
12.9.2,12.9,pretty bargain price,3
12.9.3,12.9,fast service,2
12.1.4,12.1,many vip room good team party,6
12.1.5,12.1,food okay cost cheap,4
12.11.1,12.11,food good bit oily,4
12.11.2,12.11,fried sticky rice recommend,4
12.12.1,12.12,food delicious chinese favor,4
12.13.1,12.13,really good place gathering family member friend,7
12.13.2,12.13,restaurant big,2
12.13.3,12.13,sit inside outside,3
12.13.4,12.13,food delicious reasonable price,4
12.13.5,12.13,table service ok,3
12.13.6,12.13,thats reason lot people come eat,6
12.14.1,12.14,hcmc always visit restaurant,4
12.14.2,12.14,typical perfect vietnamese restaurant,4
12.14.3,12.14,never found better one,4
12.15.1,12.15,seafood vietnamese food,3
12.15.2,12.15,garden seat air conditioner room vip room,7
12.15.3,12.15,pretty waitress good service,4
12.15.4,12.15,suitable meeting party anniversary,4
12.15.5,12.15,group max  person,3
12.16.1,12.16,good restaurant family group friend,5
12.16.2,12.16,serve good authentic vietnamese cuisine,5
12.16.3,12.16,need reserve place weekend restaurant super crowded,7
12.17.1,12.17,food okay fresh air wc clean nice place party,9
12.18.1,12.18,normal food bit expensive,4
12.18.2,12.18,noisy restaurant allows karaoke outside,5
12.18.3,12.18,recommend family people like private area,6
12.19.1,12.19,parkinglot terrible creepy unused house bike somewhere like food acceptable though,11
12.19.2,12.19,ok park good last,4
12.2.3,12.2,vietnames style drinking eating place,5
12.2.4,12.2,good small group gathering support traditional karaoke set,8
12.21.1,12.21,average food quality suitable class reunion,6
12.21.2,12.21,private room karaoke sound good,5
12.22.1,12.22,decoration nice,2
12.22.2,12.22,food okay nothing special,4
12.22.3,12.22,good place group,3
12.22.4,12.22,private roosm available,3
12.23.1,12.23,dish good reasonable price,4
12.23.2,12.23,seafood fresh,2
12.23.3,12.23,would recommend restaurant,3
12.25.1,12.25,good food good service big place noisy busy,8
12.25.2,12.25,ideal big group friend,4
12.27.1,12.27,food okay clean service little slow reasonable price,8
12.28.1,12.28,even english menu,3
12.28.2,12.28,caters local,2
12.28.3,12.28,smoke speak loud disturbing,4
12.28.4,12.28,food okay,2
12.29.1,12.29,good lot food order table ten,6
12.3.3,12.3,food quality get restaurant nothing special,6
12.3.4,12.3,small table staff busy,4
12.31.1,12.31,good food quite pricey good place group couple,8
12.32.1,12.32,lot vietnam food,3
12.33.1,12.33,food really good,3
12.33.2,12.33,price reasonable,2
12.38.1,12.38,food good,2
12.38.2,12.38,price okay,2
12.38.3,12.38,service good,2
12.39.1,12.39,great value money excellent food atmosphere,6
12.4.4,12.4,good place good service,4
12.4.5,12.4,place serve bos,3
12.41.1,12.41,captain speaks english,3
12.41.2,12.41,good food affordable price,4
12.42.1,12.42,good place eating vivid menu,5
12.43.1,12.43,good family friend casual meeting,5
12.44.1,12.44,badly service food small,4
12.45.1,12.45,good food good place party,5
12.46.1,12.46,people come drink drunk,4
12.47.1,12.47,good small party friend,4
12.48.1,12.48,good food bit high price,5
12.49.1,12.49,good service food okay,4
12.5.6,12.5,delicious meal nice interior,4
12.51.1,12.51,good seafood fair price,4
12.52.1,12.52,nice place good food good service,6
12.53.1,12.53,good service high price,4
12.54.1,12.54,great dining experience,3
12.55.1,12.55,food okay best,3
12.56.1,12.56,good service acceptable rate,4
12.58.1,12.58,nice place family party,4
12.61.1,12.61,good happy event,3
12.67.1,12.67,nice place good service mind staff,6
12.7.5,12.7,amazing food comfortable background,4
12.72.1,12.72,acceptable quite expensive,3
12.73.1,12.73,good place party,3
12.82.1,12.82,food fine,2
12.89.1,12.89,place choice dinner,3
12.93.1,12.93,good food drink,3
12.117.1,12.117,food delicious,2
12.119.1,12.119,enjoy food,2
12.135.1,12.135,vietnam favorite restaurant local glass unique recommended restaurant taste vietnamese vodka wine spacious space service provided,16
12.149.1,12.149,every time go vietnam forget stop dinner local food,9
12.149.2,12.149,menu friendly enough korean enjoy price affordable,7
12.149.3,12.149,seems  local account  child party banquet hall well equipped many group guest,12
12.149.4,12.149,first delicious,2
12.149.5,12.149,hall manager also respond quickly kindly,6
12.149.6,12.149,many unique menu item menu afraid ate frog dish,9
12.149.7,12.149,taste good smoked chicken dish,5
13.1.1,13.1,surprised received high rating,4
13.1.2,13.1,food good service slow,4
13.1.3,13.1,one dish ordered found couple hair,6
13.1.4,13.1,took dish away say anything u,6
13.1.5,13.1,addition quite pricey,3
13.1.6,13.1,recommend restaurant anyone,3
13.7.1,13.7,famous restaurant local crowded hectic mealtime taste suit korean taste convenient danang airport,13
13.39.1,13.39,beautiful anything,2
14.1.1,14.1,bowl pho bo many pepper soup,6
14.1.2,14.1,bowl ranging k vnd kvnd,5
14.1.3,14.1,taste good,2
14.1.4,14.1,near airport meal would avoid place possible,7
14.1.5,14.1,better food option,3
14.1.6,14.1,recommend place,2
14.2.1,14.2,good pho open early overpriced,5
14.3.1,14.3,hard find need ask friend clearly near wood bridge,9
14.3.2,14.3,sping roll good,3
14.3.3,14.3,restaurant quite dirty,3
14.4.1,14.4,old hot place,3
